gene,B Han_2025,D Coppola_2011,G Bindea_2013,I P.MacFawn_2024,J Yang_2025,J-X Lei_2024,L Pu_2025,L de Chaisemartin_2011,M Jiao_2025,M Meylan_2022,R Cabrita_2020,R Wu_2021,W Wu_2024,X Liu_2024,X Wang_2024,Y Hou_2023,Y Hua_2025,Y Liu_2024,Y Zhang_2024,Z Gong_2024,Z Xu_2024
1-SEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC103591.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ACAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AEBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AKNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AL928768.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
APOE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARHGAP4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ARHGAP45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ARHGAP9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARHGDIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARHGEF1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ATP2A3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
BCL6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BIRC3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
C1QA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CAVIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CCDC85B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CCL17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL18,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCL19,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1
CCL2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CCL20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL21,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1
CCL22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCL5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CCL8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CCR6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CCR7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
CD19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CD1D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
