gene,B Han_2025,D Coppola_2011,G Bindea_2013,I P.MacFawn_2024,J Yang_2025,J-X Lei_2024,L Pu_2025,L de Chaisemartin_2011,M Jiao_2025,M Meylan_2022,R Cabrita_2020,R Wu_2021,W Wu_2024,X Liu_2024,X Wang_2024,Y Hou_2023,Y Hua_2025,Y Liu_2024,Y Zhang_2024,Z Gong_2024,Z Xu_2024
ARHGAP4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ARHGAP45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ARHGDIB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ARHGEF1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ATP2A3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
BLK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
C7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
CCL18,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CCL19,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1
CCL2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CCL21,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1
CCL5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CCL8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CCR7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
CD19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CD22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CD37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
CD52,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
CD79A,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
CD79B,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
CETP,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
CORO1A,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CXCL10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
CXCL11,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CXCL13,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0
CXCL9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
CXCR4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
CXCR5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
DEF6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
EVL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HLA-DQA1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
HLA-DQB1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
IGHG1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
IGHG2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IGHM,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
IL16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
IL7R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
LAMP3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
LAT,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
LIMD2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
LINC00926,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
LSP1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LTB,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
LUM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MMP1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MS4A1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
POU2AF1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
PTGDS,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
RAC2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
RASAL3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
RASGRP2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
RBP5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
SELL,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
SGPP2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SKAP1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
TBC1D10C,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TIGIT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
TNFRSF13C,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
TRBC1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TRBC2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
TXNIP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
