nn_11 leiden_1,low_manual_annotation
0,Matrix_CAFs
1,Adenocarcinoma
2,Matrix_CAFs
3,Matrix_CAFs
4,Matrix_CAFs
5,Matrix_CAFs
6,Matrix_CAFs
7,Adenocarcinoma
8,Adenocarcinoma
9,Uncertain
10,Matrix_CAFs
11,Uncertain
12,Uncertain
13,Macrophages_M2
14,Monocytes
15,Matrix_CAFs
16,Matrix_CAFs
17,Matrix_CAFs
18,Matrix_CAFs
19,CD4_Tcells
20,Monocytes
21,Adenocarcinoma
22,Myofibroblasts
23,Uncertain
24,Adenocarcinoma
25,Monocytes
26,Uncertain
27,Matrix_CAFs
28,Uncertain
29,Matrix_CAFs
30,Uncertain
31,Uncertain
32,Uncertain
33,Macrophages_M2
34,Matrix_CAFs
35,Matrix_CAFs
36,Uncertain
37,Matrix_CAFs
38,Matrix_CAFs
39,Macrophages_M2
40,Matrix_CAFs
41,Uncertain
42,Uncertain
43,Adenocarcinoma
44,Myofibroblasts
45,Matrix_CAFs
