,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
SFTPB,-0.2021069,-0.050258845,4.3666263,0.14154188,-0.1725103,-0.07185621,-0.24339263,-0.18023466,-0.07714929,-0.16423015,4.195488,0.05436101,-0.24181853,-0.31533578,-0.2270985,-0.31715983,-0.25252163,-0.21980083,-0.3029744,-0.22799611,-0.27363566,-0.19881651,-0.25213587,-0.24140862,-0.31197548,-0.24829675,-0.27740487,-0.27133086,-0.26948985,-0.25623202,-0.31234646,-0.19395494,-0.31745294,-0.2916609,-0.3082615,-0.21423125,-0.31745294,-0.31252465,-0.30550796,-0.31745294
SFTPA1,-0.32072097,-0.14333335,1.5227581,-0.16315107,-0.23309879,0.53007215,-0.3130487,-0.22980127,-0.13077334,-0.034862928,5.806932,-0.17948937,-0.28402513,-0.18104532,-0.28971618,-0.3399057,-0.313442,-0.18337256,-0.32671425,-0.12762481,-0.25450158,-0.27913174,-0.30312458,-0.29900002,-0.2911533,-0.32743078,-0.31433532,-0.31083724,-0.06155687,-0.30488813,-0.3361393,-0.305716,-0.09234258,0.50056666,0.011254053,-0.2594667,-0.39663586,-0.17960384,0.135042,-0.39663586
SFTPC,-0.18303314,-0.08119985,0.034186926,-0.067678735,-0.13483386,-0.098010324,-0.19483504,-0.15961437,-0.03518831,0.15097399,6.1480536,-0.119707644,-0.17460163,-0.22002952,-0.13145776,-0.22433971,-0.20579049,-0.16209677,-0.21546072,-0.1851955,-0.16611767,-0.19443643,-0.19553651,-0.18154049,-0.21915463,-0.18645976,-0.1997653,-0.19339079,-0.07551382,-0.15529004,-0.22472784,-0.17215474,-0.22472784,-0.202742,-0.21402963,-0.14859368,-0.22472784,-0.22472784,-0.11177681,-0.22472784
CD3D,0.563595,1.2675439,-0.004978311,0.99838096,2.4561677,-0.7886674,-0.78457004,-0.59808975,0.5700735,0.029867578,-0.292458,0.7184117,-0.22310713,-0.113027506,-0.64297837,-0.9113338,-0.84896976,0.5753544,-0.9234481,-0.48695728,-0.657242,0.5126504,-0.77423096,-0.27185187,-0.96178395,-0.5907814,-0.7344655,-0.49261147,1.7669092,-0.81703407,-0.55363685,1.0705099,-0.61581564,-1.1394037,1.0324652,-0.7218755,1.6585177,0.023122171,2.845152,-1.1394037
CD3E,0.55635226,1.2962652,-0.028312555,0.9528533,2.0736194,-0.78299284,-0.8444758,-0.8562091,0.70837307,-0.016677985,-0.33575758,1.0592568,-0.4509587,-0.20616585,-0.85890365,-0.87822694,-0.8513956,0.5088531,-0.89434975,-0.8898763,-0.39470187,-0.094175495,-0.90612364,-0.7711062,-0.73327225,-0.4439727,-0.20406845,-0.50479704,0.27437723,-1.0107815,-0.723951,1.2747945,-0.6441846,-1.1936677,0.58425295,0.119388394,3.348037,0.9462603,-0.058059327,1.8744804
CD4,0.8161983,1.0522333,0.31512126,0.7258746,1.5066937,-0.6122317,-0.80342436,-0.62249684,2.3581483,0.41592413,0.2763098,0.5796901,-0.38103288,-0.43275097,-0.27446362,-0.89639646,-0.8466576,0.43249267,-0.8654965,-0.42311445,-0.41418174,0.03158607,-0.54146814,-0.20721115,-1.1116498,-0.1952813,-0.89271754,-0.5141194,0.8935313,-0.92088014,-0.8333713,0.32434207,-1.0930055,-0.35163,0.46991113,-0.50502384,0.62872183,0.29022032,3.8339827,-1.2123816
IL7R,0.77445424,2.0126922,0.19529842,0.961489,2.8060708,-0.821989,-0.9127471,-0.7962303,0.9553727,0.6379087,0.18185495,0.7074935,-0.46258247,-0.359903,-0.5345078,-0.93722063,-0.8247157,1.2054054,-1.014627,-0.27963224,-0.3732711,0.067220695,-0.7894549,-0.26069605,-1.0100598,-0.65808815,-0.5253468,-0.36453074,0.11621026,-0.85677797,-0.056409303,0.64437956,-0.7994891,-0.61668056,0.90576786,-0.5614788,3.0231364,0.17051156,-0.3373851,-1.2114416
CD3D,0.563595,1.2675439,-0.004978311,0.99838096,2.4561677,-0.7886674,-0.78457004,-0.59808975,0.5700735,0.029867578,-0.292458,0.7184117,-0.22310713,-0.113027506,-0.64297837,-0.9113338,-0.84896976,0.5753544,-0.9234481,-0.48695728,-0.657242,0.5126504,-0.77423096,-0.27185187,-0.96178395,-0.5907814,-0.7344655,-0.49261147,1.7669092,-0.81703407,-0.55363685,1.0705099,-0.61581564,-1.1394037,1.0324652,-0.7218755,1.6585177,0.023122171,2.845152,-1.1394037
CD8A,1.0291185,1.8484842,0.3639948,1.2490436,2.2295153,-0.26082724,-0.41090533,-0.501972,1.5453961,0.6181205,0.21287563,0.90591186,-0.5548057,-0.6100598,0.014473776,0.08475297,-0.9433302,1.2274996,-0.725008,-0.7632589,-0.3399824,1.2280759,-0.6035596,0.19262934,-0.64630306,-0.22833471,-0.87893593,-0.55434394,-0.6703315,-0.6870365,-0.54080856,-0.6128935,0.699157,-1.0376827,-1.0376827,-0.5851837,2.8572423,-1.0376827,-1.0376827,-1.0376827
GZMB,0.45071268,1.2279333,0.21782626,-0.071411826,1.2903707,-0.28648517,-0.7171579,-0.33984116,1.2092065,1.2674581,-0.07770394,0.8065753,0.2679927,-0.17085885,-0.86179125,-0.69448924,-0.57920074,0.7171475,-0.43865708,-0.7033585,-0.16918512,-0.23096655,-0.9226113,-0.12247259,-0.26126066,-0.5837084,-0.46284327,0.77324456,1.4744247,-0.5693807,-0.9226113,-0.9226113,0.64231443,0.23166695,-0.9226113,-0.9226113,-0.9226113,-0.9226113,4.1447887,-0.9226113
PRF1,0.14833245,0.49785188,-0.11423252,0.40844297,0.35786477,-0.5068932,-0.50447965,-0.61160195,0.065757126,0.64295566,0.43594036,0.5342529,-0.5343397,0.46754155,-0.23681644,-0.80265653,-0.6189377,0.1423681,-0.49105495,-0.40737376,-0.47327277,-0.14615197,-0.610107,0.45622,-0.7820707,-0.27161688,-0.18909255,-0.26198253,-0.12023871,-0.5991443,0.39196223,0.19191667,-0.86257964,-0.27610072,0.04854971,-0.86257964,-0.19762154,-0.86257964,1.2001525,5.3534164
IFNG,1.0141926,0.34554112,-0.09592282,0.17673257,0.72158486,0.48822743,-0.35627142,0.29239458,0.84597284,-0.53965735,4.085058,2.2025678,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.17319469,-0.53965735,-0.53965735,2.1046329,1.6790886,-0.53965735,-0.53965735,0.16082685,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735,-0.53965735
CD3D,0.563595,1.2675439,-0.004978311,0.99838096,2.4561677,-0.7886674,-0.78457004,-0.59808975,0.5700735,0.029867578,-0.292458,0.7184117,-0.22310713,-0.113027506,-0.64297837,-0.9113338,-0.84896976,0.5753544,-0.9234481,-0.48695728,-0.657242,0.5126504,-0.77423096,-0.27185187,-0.96178395,-0.5907814,-0.7344655,-0.49261147,1.7669092,-0.81703407,-0.55363685,1.0705099,-0.61581564,-1.1394037,1.0324652,-0.7218755,1.6585177,0.023122171,2.845152,-1.1394037
CD4,0.8161983,1.0522333,0.31512126,0.7258746,1.5066937,-0.6122317,-0.80342436,-0.62249684,2.3581483,0.41592413,0.2763098,0.5796901,-0.38103288,-0.43275097,-0.27446362,-0.89639646,-0.8466576,0.43249267,-0.8654965,-0.42311445,-0.41418174,0.03158607,-0.54146814,-0.20721115,-1.1116498,-0.1952813,-0.89271754,-0.5141194,0.8935313,-0.92088014,-0.8333713,0.32434207,-1.0930055,-0.35163,0.46991113,-0.50502384,0.62872183,0.29022032,3.8339827,-1.2123816
GNLY,0.7601426,1.8318499,0.24619944,0.48498353,1.6260276,-0.77948266,-0.4825475,-0.5773439,0.47816917,0.6227084,0.96361315,0.8641983,-0.120130636,1.5227269,-0.5955947,-0.9401809,-0.9563512,1.3908246,-0.66777986,-0.58749044,-0.6413433,0.35863745,-1.1735309,-0.29268438,-0.7922446,-0.6015588,0.07581384,0.60120165,1.3714573,-0.66051203,0.4070073,-1.2777663,-1.2777663,1.4555957,-1.2777663,-1.2777663,-1.2777663,0.67532593,1.7988892,-1.2777663
PRF1,0.14833245,0.49785188,-0.11423252,0.40844297,0.35786477,-0.5068932,-0.50447965,-0.61160195,0.065757126,0.64295566,0.43594036,0.5342529,-0.5343397,0.46754155,-0.23681644,-0.80265653,-0.6189377,0.1423681,-0.49105495,-0.40737376,-0.47327277,-0.14615197,-0.610107,0.45622,-0.7820707,-0.27161688,-0.18909255,-0.26198253,-0.12023871,-0.5991443,0.39196223,0.19191667,-0.86257964,-0.27610072,0.04854971,-0.86257964,-0.19762154,-0.86257964,1.2001525,5.3534164
KLRD1,0.48584735,1.3630104,-0.10542157,0.32161298,1.0444895,-0.35330918,-0.63676596,-0.23507597,0.4466431,0.30710793,1.0548507,0.5178606,0.21059102,-0.7820828,0.26527154,-0.7820828,-0.7103018,0.1624748,-0.29120028,-0.7820828,-0.44496703,1.6746316,-0.58671653,0.7691875,-0.7820828,-0.55357224,0.018188754,1.0075457,0.98421997,-0.7820828,-0.7820828,-0.7820828,-0.7820828,-0.7820828,-0.7820828,-0.7820828,4.2329564,-0.7820828,-0.7820828,-0.7820828
