cluster,gene,score,pval_adj
0,IGKC,251.97266,0.0
0,IGLC2,196.8468,0.0
0,IGLC3,170.06966,0.0
0,IGHG1,135.97656,0.0
0,COL3A1,132.32558,0.0
0,IGHA1,118.58569,0.0
0,COL1A1,113.16931,0.0
0,IGHG2,77.66654,0.0
0,IGHM,73.32832,0.0
0,SFTPB,71.13972,0.0
0,IGHG3,68.86136,0.0
0,COL1A2,66.50538,0.0
0,CD74,63.643173,0.0
0,A2M,56.92572,0.0
0,MGP,53.84454,0.0
0,SPARC,50.331,0.0
0,FN1,49.253994,0.0
0,VIM,49.208797,0.0
0,TIMP1,49.05243,0.0
0,COL6A3,47.482395,0.0
1,TMSB4X,122.497215,0.0
1,CEACAM6,34.43702,9.184375610573167e-257
1,S100A6,33.392788,1.9903569618379987e-241
1,MT-CO3,31.60134,3.7997693218407444e-216
1,ELF3,25.986303,5.613567419974267e-146
1,CEACAM5,23.174166,5.825128912678633e-116
1,TMSB10,21.82971,8.192560338511693e-103
1,MT-CO2,20.917606,2.413573345364153e-94
1,MT-CO1,20.02945,1.6870609807692215e-86
1,CLDN4,19.284693,3.6616086164257455e-80
1,CAPN13,17.937346,2.9730334758524495e-69
1,MT-CYB,17.60935,1.0031083619943838e-66
1,SHISA3,16.524193,1.1212339198050088e-58
1,MT-ATP6,15.456884,2.877995566428669e-51
1,RNASE1,15.246353,7.221863566474442e-50
1,BPIFA1,15.053521,1.327749676893581e-48
1,MT-ND4,14.850824,2.6131643908869344e-47
1,LY6E,14.200029,3.343007375627024e-43
1,MT-ND4L,11.583398,1.5217831928515016e-28
1,MT-ND2,11.0034685,1.0487221972971514e-25
2,EPAS1,4.6039886,0.00017927502261114454
2,SFTPC,3.9008882,0.0029401271670920002
2,PDK4,2.41951,0.1891814777793828
2,AGER,2.173171,0.30337528126420654
2,CLDN5,1.7200167,0.6084019022208487
2,GPX3,1.5338057,0.7551167510663775
2,FCN3,1.4070634,0.8660527496813334
2,ADIRF,1.141251,0.9999699140749954
2,RGCC,1.1111345,0.9999699140749954
2,CAV1,0.9889656,0.9999699140749954
2,FAM107A,0.8448321,0.9999699140749954
2,EMP2,0.76400286,0.9999699140749954
2,INMT,0.7558735,0.9999699140749954
2,VIPR1,0.7483013,0.9999699140749954
2,ZBTB16,0.6978598,0.9999699140749954
2,VWF,0.6740818,0.9999699140749954
2,SLC6A4,0.63664794,0.9999699140749954
2,CYP4B1,0.59677505,0.9999699140749954
2,CAVIN2,0.5742772,0.9999699140749954
2,IL1RL1,0.5435151,0.9999699140749954
3,TMSB4X,68.26707,0.0
3,IGKC,55.625053,0.0
3,MS4A1,9.5980425,6.759977160660189e-19
3,CXCR4,9.471835,2.1821768681809386e-18
3,CLU,8.924895,3.257226744223176e-16
3,MT-CO3,8.793565,1.0171654407011874e-15
3,CD37,6.9014187,2.847785825343206e-09
3,CD74,6.833801,4.439440940208822e-09
3,MT-CO1,6.823589,4.630723604866194e-09
3,CXCL13,6.462132,5.234448710655944e-08
3,ACTB,5.851238,2.2836283312507794e-06
3,MT-ATP6,5.526741,1.3908399455853843e-05
3,MT-CYB,5.4753847,1.8110360644654624e-05
3,MT-ND4,5.0612445,0.00016040469062741602
3,PFN1,5.022308,0.00019018223386279843
3,CAPN13,4.9278765,0.0003034676735548169
3,LAPTM5,4.917431,0.0003138347488103586
3,MT-CO2,4.8586583,0.00041484770246787313
3,CD52,4.720137,0.0007966611201117188
3,ETS1,4.6244044,0.001224502109869125
4,COL1A1,92.89155,0.0
4,S100A6,44.002136,0.0
4,CEACAM6,43.66029,0.0
4,ELF3,35.13469,4.544360892748668e-267
4,MT-CO3,34.579716,1.034167429399619e-258
4,TMSB10,32.087185,1.214719569852608e-222
4,TMSB4X,31.474575,3.2122541263388377e-214
4,CEACAM5,27.653206,3.585639055719753e-165
4,MT-CO2,26.521969,7.052429203890625e-152
4,CLDN4,25.960735,1.673851231003977e-145
4,MT-CYB,25.546022,6.934845061284701e-141
4,MT-ATP6,24.117506,1.6609018179700613e-125
4,MT-CO1,23.140635,1.7353352558817402e-115
4,CAPN13,23.080328,6.660747618513809e-115
4,MT-ND4,22.882921,5.974930991393712e-113
4,SHISA3,22.757196,1.0104427320945483e-111
4,SAT1,22.073307,4.5283990369339745e-105
4,CD55,20.637201,9.288498798762822e-92
4,CAPN2,20.158625,1.5871615307985326e-87
4,SLC34A2,20.140383,2.209281045065709e-87
5,IGKC,63.745167,0.0
5,FDCSP,0.37749636,0.9999485120060451
5,THAP1,0.2640902,0.9999485120060451
5,IL1RL1,0.22636162,0.9999485120060451
5,ADAMTS9,0.19644904,0.9999485120060451
5,MS4A14,0.119812675,0.9999485120060451
5,TIRAP,0.10691565,0.9999485120060451
5,YDJC,0.09952194,0.9999485120060451
5,CXCL13,0.09529933,0.9999485120060451
5,ACKR1,0.0939657,0.9999485120060451
5,DRC1,0.092235215,0.9999485120060451
5,SCIMP,0.09029672,0.9999485120060451
5,LRRC49,0.08914145,0.9999485120060451
5,REM2,0.087789774,0.9999485120060451
5,P2RY11,0.08652599,0.9999485120060451
5,FAM43A,0.0862155,0.9999485120060451
5,DHRS4L2,0.084815964,0.9999485120060451
5,MGAT5B,0.08456518,0.9999485120060451
5,CCR7,0.08323952,0.9999485120060451
5,CDH5,0.08174903,0.9999485120060451
6,SCGB3A1,107.53649,0.0
6,CEACAM6,43.284664,0.0
6,S100A6,37.09161,1.4003283921943999e-297
6,LY6E,27.315624,5.050352511522423e-161
6,SLC34A2,27.311945,5.0773335208529e-161
6,MT-CO2,25.950537,2.727537070169537e-145
6,MUC1,25.553007,7.138428137741143e-141
6,MT-CYB,25.534668,1.0596525559325455e-140
6,MT-CO1,24.479355,2.9827110465562156e-129
6,MT-CO3,23.58188,6.747040896392045e-120
6,MT-ND4L,22.517445,3.007012200033162e-109
6,MT-ND4,22.112787,2.4145228369337107e-105
6,NAPSA,21.11831,5.186751672130826e-96
6,CLDN4,21.007122,5.1523421118330616e-95
6,MT-ND2,20.794197,4.2456938151752085e-93
6,MUC5B,20.278177,1.5905439896694136e-88
6,MT-ATP6,19.357159,1.3492112536158615e-80
6,SELENOW,19.124922,1.099437763865437e-78
6,ELF3,18.663284,6.658026978568763e-75
6,MLPH,18.310377,4.3048480582403484e-72
7,CEACAM6,8.595057,3.1647544097313455e-15
7,MT-CO3,5.881262,7.741362361856998e-07
7,S100A6,4.7241807,0.0002969905641687136
7,ELF3,2.9786084,0.1582439600022795
7,BPIFA1,2.8349102,0.23049349514275733
7,CAPN13,2.0264742,0.9999205831892873
7,MUC5B,0.5532464,0.9999205831892873
7,CEACAM5,0.4062584,0.9999205831892873
7,NDST4,0.31420258,0.9999205831892873
7,LY6D,0.23891614,0.9999205831892873
7,CLDN4,0.16899706,0.9999205831892873
7,PCP4L1,0.1161876,0.9999205831892873
7,TBX15,0.107877694,0.9999205831892873
7,ZG16B,0.10643852,0.9999205831892873
7,AFF2,0.102876745,0.9999205831892873
7,KRT15,0.096981935,0.9999205831892873
7,TRIM17,0.09612933,0.9999205831892873
7,FNDC10,0.09033359,0.9999205831892873
7,HOXC6,0.084824055,0.9999205831892873
7,CECR2,0.08028193,0.9999205831892873
8,COL3A1,94.77055,0.0
8,COL1A2,10.314128,3.7011496835309385e-22
8,SPARC,3.3975487,0.05799376709189379
8,COL6A3,3.1172175,0.13657344648948358
8,MMP2,2.2236333,0.9999993266937549
8,AEBP1,1.9098982,0.9999993266937549
8,BGN,1.8748425,0.9999993266937549
8,COL5A1,1.6693658,0.9999993266937549
8,COMP,1.3136805,0.9999993266937549
8,VCAN,1.3125525,0.9999993266937549
8,THBS2,1.2372686,0.9999993266937549
8,COL1A1,1.1886026,0.9999993266937549
8,MMP11,1.06348,0.9999993266937549
8,ACTA2,0.95158666,0.9999993266937549
8,COL6A2,0.87697065,0.9999993266937549
8,SERPINE1,0.76341385,0.9999993266937549
8,CTHRC1,0.7325626,0.9999993266937549
8,SFRP2,0.6850359,0.9999993266937549
8,POSTN,0.6635465,0.9999993266937549
8,CALD1,0.626432,0.9999993266937549
9,IGLC2,67.99718,0.0
9,MT-CO3,6.873,5.464212046699813e-09
9,CEACAM6,6.5707617,3.807164929549656e-08
9,CEACAM5,5.951687,1.6147394894529862e-06
9,MT-CO2,4.7677455,0.0010001516077314638
9,RNASE1,3.8766496,0.04714825307669048
9,MT-ND4,3.510782,0.1772884013286222
9,CLDN4,3.2766676,0.36175375510666957
9,SHISA3,3.0851848,0.6514263239065553
9,MT-ATP6,3.011636,0.8038866506055309
9,TMSB10,2.9665687,0.9025116956996916
9,MT-CYB,2.8102748,0.9999924664831483
9,CAPN13,2.6320796,0.9999924664831483
9,TMSB4X,2.6144745,0.9999924664831483
9,LY6E,2.4547482,0.9999924664831483
9,ELF3,2.4272127,0.9999924664831483
9,S100A6,2.2819908,0.9999924664831483
9,TACSTD2,2.0479412,0.9999924664831483
9,ARF6,1.8749759,0.9999924664831483
9,EPCAM,1.8630186,0.9999924664831483
10,COL3A1,71.42646,0.0
