cluster,gene,score,pval_adj
0,IGKC,251.06592,0.0
0,IGLC2,162.51013,0.0
0,IGLC3,135.21773,0.0
0,IGHA1,88.17209,0.0
0,TMSB4X,82.69189,0.0
0,COL3A1,68.14478,0.0
0,IGHG2,58.001724,0.0
0,IGHG3,50.21023,0.0
0,SFTPB,43.88161,0.0
0,SFTPA2,40.349277,0.0
0,TMSB10,38.492916,0.0
0,IGHM,36.384804,1.2339058405158172e-287
0,IGLC1,21.017403,6.994614412732626e-96
0,SPARC,16.545126,2.4800565340804575e-59
0,LUM,13.791679,3.8136383502216586e-41
0,MGP,13.152153,2.0674673533970343e-37
0,LYZ,12.985527,1.7390344248871986e-36
0,MMP2,11.98914,4.50098990334628e-31
0,BGN,11.700904,1.3273989458489074e-29
0,SFTPC,10.754671,5.63346087445235e-25
0,JCHAIN,10.650915,1.644367501578533e-24
0,C1S,10.3498125,3.811879450576334e-23
0,ZFP36L2,10.325549,4.6964301091373594e-23
0,FN1,9.037004,1.3418600388374147e-17
0,SFTPA1,7.857617,3.132081510295836e-13
0,IGFBP7,7.769781,6.047844178838293e-13
0,COL6A1,6.95341,2.641181373187205e-10
0,DEPP1,6.770201,9.18596734723088e-10
0,LGALS1,6.688863,1.5511160026027235e-09
0,COL5A1,6.541222,4.067880989805828e-09
1,TMSB4X,195.23936,0.0
1,CXCL13,0.78119284,0.9999795518805266
1,SLC11A1,0.5755787,0.9999795518805266
1,MMP11,0.39466783,0.9999795518805266
1,LTF,0.3185484,0.9999795518805266
1,ITGAX,0.2933723,0.9999795518805266
1,GPNMB,0.29126018,0.9999795518805266
1,CHIT1,0.29088682,0.9999795518805266
1,DDX50,0.27289933,0.9999795518805266
1,PARVG,0.2379992,0.9999795518805266
1,OLR1,0.22766048,0.9999795518805266
1,C5AR1,0.21296455,0.9999795518805266
1,ESS2,0.21112342,0.9999795518805266
1,LAT2,0.18386696,0.9999795518805266
1,S100A8,0.18146347,0.9999795518805266
1,ZNF329,0.17105879,0.9999795518805266
1,APOC1,0.16697098,0.9999795518805266
1,AGER,0.16301854,0.9999795518805266
1,MYO1F,0.15676342,0.9999795518805266
1,ZNF365,0.1429393,0.9999795518805266
1,ALOX5AP,0.13867292,0.9999795518805266
1,SPP1,0.13839504,0.9999795518805266
1,NCF2,0.13322338,0.9999795518805266
1,ARRB2,0.13143641,0.9999795518805266
1,CCL21,0.1259556,0.9999795518805266
1,NMRK1,0.122425325,0.9999795518805266
1,ALOX5,0.12194813,0.9999795518805266
1,MAP4K1,0.11145165,0.9999795518805266
1,GBGT1,0.11134357,0.9999795518805266
1,RIN3,0.1102734,0.9999795518805266
2,EPAS1,1.454159,0.9999867676598672
2,PDK4,1.377193,0.9999867676598672
2,CLDN5,0.9903984,0.9999867676598672
2,ADAMTS1,0.89278764,0.9999867676598672
2,ZBTB16,0.6692814,0.9999867676598672
2,SLC11A1,0.6475106,0.9999867676598672
2,VWF,0.61971855,0.9999867676598672
2,MYH11,0.444504,0.9999867676598672
2,GPX3,0.41567934,0.9999867676598672
2,MS4A7,0.3677425,0.9999867676598672
2,RGCC,0.36093467,0.9999867676598672
2,FAM107A,0.29330754,0.9999867676598672
2,FCN3,0.29282373,0.9999867676598672
2,CAV1,0.28321764,0.9999867676598672
2,NR4A3,0.27041507,0.9999867676598672
2,PTPRB,0.2362033,0.9999867676598672
2,ITGAX,0.22779849,0.9999867676598672
2,CAVIN2,0.22032295,0.9999867676598672
2,SLC6A4,0.2103104,0.9999867676598672
2,CRISPLD2,0.20778559,0.9999867676598672
2,S100A8,0.20701906,0.9999867676598672
2,AGER,0.20462456,0.9999867676598672
2,RTKN2,0.20228685,0.9999867676598672
2,IL1RL1,0.19887117,0.9999867676598672
2,INMT,0.19339226,0.9999867676598672
2,CD36,0.19087239,0.9999867676598672
2,NCF2,0.18803518,0.9999867676598672
2,RAMP3,0.1841565,0.9999867676598672
2,TNXB,0.18400298,0.9999867676598672
2,ITPRIP,0.1754964,0.9999867676598672
3,TMSB10,164.67918,0.0
3,TMSB4X,101.54729,0.0
3,SCN9A,0.74337614,0.9999619623476099
3,PECR,0.7385482,0.9999619623476099
3,ZC3H6,0.69965714,0.9999619623476099
3,SAMD1,0.69892037,0.9999619623476099
3,VPS53,0.6537536,0.9999619623476099
3,FAM149A,0.6382976,0.9999619623476099
3,ZNF329,0.58924705,0.9999619623476099
3,MUS81,0.5659029,0.9999619623476099
3,RIN3,0.56289303,0.9999619623476099
3,COL28A1,0.5423538,0.9999619623476099
3,HARS2,0.53795266,0.9999619623476099
3,ZNF766,0.5326329,0.9999619623476099
3,TMEM187,0.50797105,0.9999619623476099
3,VPS4A,0.5074874,0.9999619623476099
3,TCP11L1,0.4976286,0.9999619623476099
3,FAM174A,0.475892,0.9999619623476099
3,KRT23,0.43660688,0.9999619623476099
3,FBXL5,0.42941517,0.9999619623476099
3,GSDMB,0.42642254,0.9999619623476099
3,SLCO5A1,0.41899276,0.9999619623476099
3,CDC37L1,0.41309094,0.9999619623476099
3,DDX50,0.40969616,0.9999619623476099
3,EP400,0.36279374,0.9999619623476099
3,FKBP8,0.36044735,0.9999619623476099
3,C5AR1,0.35587737,0.9999619623476099
3,STIM1,0.35126448,0.9999619623476099
3,RHOBTB1,0.34885916,0.9999619623476099
3,ERGIC1,0.33035442,0.9999619623476099
4,TMSB10,153.39024,0.0
4,SCN9A,0.40815216,0.9998926643945671
4,PECR,0.3323472,0.9998926643945671
4,COL28A1,0.32180077,0.9998926643945671
4,TMEM187,0.24713013,0.9998926643945671
4,HDAC10,0.2040091,0.9998926643945671
4,ZNF766,0.1665558,0.9998926643945671
4,KRT23,0.16343388,0.9998926643945671
4,MUS81,0.15089065,0.9998926643945671
4,PHF6,0.12954332,0.9998926643945671
4,SULT1A2,0.12654334,0.9998926643945671
4,ZNF529,0.12404946,0.9998926643945671
4,PCDHB13,0.116798855,0.9998926643945671
4,LYPD1,0.113078095,0.9998926643945671
4,IQSEC3,0.109705485,0.9998926643945671
4,VGLL1,0.10423979,0.9998926643945671
4,EP400,0.10287209,0.9998926643945671
4,IPMK,0.09882971,0.9998926643945671
4,PANK2,0.09569449,0.9998926643945671
4,ZNF329,0.09474009,0.9998926643945671
4,TARS2,0.09335422,0.9998926643945671
4,FAM131A,0.09077079,0.9998926643945671
4,ARHGEF37,0.08579614,0.9998926643945671
4,METTL1,0.07956671,0.9998926643945671
4,SLCO5A1,0.07706686,0.9998926643945671
4,AQP4,0.07692176,0.9998926643945671
4,CHCHD10,0.0765163,0.9998926643945671
4,MKX,0.07527449,0.9998926643945671
4,RPP14,0.07384773,0.9998926643945671
4,FBXL5,0.07361152,0.9998926643945671
5,IGKC,123.6257,0.0
5,C7,0.7940497,0.9999896375100003
5,CYTIP,0.7325525,0.9999896375100003
5,IKZF1,0.5578588,0.9999896375100003
5,CCL19,0.5533652,0.9999896375100003
5,CXCL13,0.5218125,0.9999896375100003
5,CD96,0.4691476,0.9999896375100003
5,TRBC2,0.46272168,0.9999896375100003
5,IL7R,0.39626586,0.9999896375100003
5,TRBC1,0.36946616,0.9999896375100003
5,ADAMTS1,0.33222765,0.9999896375100003
5,MYH11,0.28606474,0.9999896375100003
5,ZFP36L2,0.2772562,0.9999896375100003
5,ARHGAP9,0.25346833,0.9999896375100003
5,CD69,0.24241261,0.9999896375100003
5,MT1X,0.23988019,0.9999896375100003
5,SLIT3,0.2269394,0.9999896375100003
5,CD3D,0.22679053,0.9999896375100003
5,PTPN22,0.2235032,0.9999896375100003
5,CD7,0.21877003,0.9999896375100003
5,CCL21,0.21023943,0.9999896375100003
5,TRAC,0.20614035,0.9999896375100003
5,HCLS1,0.20534727,0.9999896375100003
5,AOAH,0.20459935,0.9999896375100003
5,SLA,0.20384346,0.9999896375100003
5,LCP1,0.16577664,0.9999896375100003
5,MPEG1,0.16354704,0.9999896375100003
5,GPR171,0.15773773,0.9999896375100003
5,PCDH17,0.153018,0.9999896375100003
5,PTPRC,0.14572479,0.9999896375100003
6,NEUROG3,0.014062929,0.9982270955110458
6,OR4S2,0.010359514,0.9982270955110458
6,SMR3B,0.00961905,0.9982270955110458
6,PGLYRP3,0.0044334745,0.9982270955110458
6,EFCAB9,-0.002222008,0.9982270955110458
6,MAGEA3,-0.002222008,0.9982270955110458
6,CPA1,-0.002222008,0.9982270955110458
6,MYF6,-0.002222008,0.9982270955110458
6,EVX1,-0.002222008,0.9982270955110458
6,STAR,-0.002222008,0.9982270955110458
6,BPI,-0.002222008,0.9982270955110458
6,TFF2,-0.002222008,0.9982270955110458
6,MC2R,-0.002222008,0.9982270955110458
6,CPN2,-0.002222008,0.9982270955110458
6,SERPINB3,-0.002222008,0.9982270955110458
6,CER1,-0.002222008,0.9982270955110458
6,SLURP1,-0.002222008,0.9982270955110458
6,FOLR3,-0.002222008,0.9982270955110458
6,CTRB2,-0.002222008,0.9982270955110458
6,PRAMEF4,-0.002222008,0.9982270955110458
6,TMEM164,-0.002222008,0.9982270955110458
6,LBX1,-0.002222008,0.9982270955110458
6,MYL10,-0.002222008,0.9982270955110458
6,ACOD1,-0.002222008,0.9982270955110458
6,DCAF8L1,-0.002222008,0.9982270955110458
6,COL20A1,-0.002222008,0.9982270955110458
6,XAGE5,-0.002222008,0.9982270955110458
6,OPN1MW,-0.002222008,0.9982270955110458
6,SLC7A3,-0.002222008,0.9982270955110458
6,LRRC30,-0.002222008,0.9982270955110458
7,SFTPA2,52.546776,0.0
7,SFTPB,45.65253,0.0
7,SFTPC,28.31678,6.136717196964483e-174
7,SFTPA1,12.351431,8.700519693149071e-33
7,IGHM,6.50391,1.2039791141270526e-08
7,AQP1,3.3826478,0.0897382903091887
7,IGHG3,2.8570225,0.4501425597659962
7,EPAS1,2.7035995,0.6532660757864006
7,PGC,2.6426735,0.7477665516164135
7,ZBTB16,1.8055995,0.9999702099562727
7,SCGB1A1,1.6270453,0.9999702099562727
7,AGER,1.611181,0.9999702099562727
7,RGCC,1.4550782,0.9999702099562727
7,GPX3,1.2322532,0.9999702099562727
7,NR4A1,1.2293172,0.9999702099562727
7,PDK4,0.99344814,0.9999702099562727
7,C11orf96,0.9904961,0.9999702099562727
7,CLDN5,0.8534567,0.9999702099562727
7,CAV1,0.8300084,0.9999702099562727
7,IGLC1,0.70762587,0.9999702099562727
7,VWF,0.65906477,0.9999702099562727
7,FCN3,0.59660506,0.9999702099562727
7,FMO2,0.5496051,0.9999702099562727
7,PLA2G4F,0.53024244,0.9999702099562727
7,ZNF385B,0.4798295,0.9999702099562727
7,ACADL,0.4650149,0.9999702099562727
7,MFAP4,0.45797792,0.9999702099562727
7,TNS1,0.44350848,0.9999702099562727
7,CAVIN2,0.43822828,0.9999702099562727
7,AQP4,0.43749318,0.9999702099562727
8,COL3A1,112.05613,0.0
8,FN1,11.002776,9.263606583933625e-26
8,SPARC,9.780558,3.0323827538846034e-20
8,MMP2,6.4601674,1.4941012872127928e-08
8,COL5A1,6.2644677,4.988016520267359e-08
8,AEBP1,5.6324987,2.0008187010326505e-06
8,BGN,5.6301303,2.0008187010326505e-06
8,THBS2,4.663905,0.0003265938209369302
8,CCN2,4.1274123,0.003668681692764565
8,LUM,4.08128,0.004265554401451929
8,MGP,3.9286778,0.0077649296862736476
8,COMP,3.8062418,0.012269088039699538
8,TAGLN,3.5324602,0.03430934826464874
8,CCN1,3.5001884,0.03719437123597301
8,VCAN,3.2975967,0.07501235539223917
8,SERPINE1,2.8530343,0.3093138961667608
8,SULF1,2.6236205,0.5800044799952047
8,CCDC80,2.4846427,0.8366549339240285
8,IGFBP7,2.392888,0.999763986728649
8,COL4A1,2.3306422,0.999763986728649
8,MMP11,2.3051453,0.999763986728649
8,SFRP2,2.2118828,0.999763986728649
8,COL6A1,2.1251216,0.999763986728649
8,FBN1,2.0531936,0.999763986728649
8,COL5A2,2.0275252,0.999763986728649
8,POSTN,2.0070856,0.999763986728649
8,COL4A2,2.0040565,0.999763986728649
8,ACTA2,1.8990197,0.999763986728649
8,LTBP2,1.6483557,0.999763986728649
8,CALD1,1.630883,0.999763986728649
9,IGLC2,75.727615,0.0
9,IGHM,2.2077425,0.999994834387049
9,PDK4,0.3788105,0.999994834387049
9,CD163,0.30838743,0.999994834387049
9,CLEC7A,0.25705257,0.999994834387049
9,SPARCL1,0.2507913,0.999994834387049
9,CYTH4,0.23584332,0.999994834387049
9,NOD2,0.17545103,0.999994834387049
9,CXCL13,0.17484556,0.999994834387049
9,ALOX5,0.17435507,0.999994834387049
9,TPSAB1,0.16670899,0.999994834387049
9,FCN3,0.16093057,0.999994834387049
9,CXCL12,0.15293813,0.999994834387049
9,ELL,0.15292776,0.999994834387049
9,SIGLEC1,0.15131259,0.999994834387049
9,TMEM273,0.1513082,0.999994834387049
9,SLA,0.14900936,0.999994834387049
9,VWF,0.14560188,0.999994834387049
9,LINC02694,0.13336642,0.999994834387049
9,GMFG,0.12142876,0.999994834387049
9,TESPA1,0.120917305,0.999994834387049
9,RAMP2,0.11767571,0.999994834387049
9,FCHO1,0.116902046,0.999994834387049
9,C8orf58,0.11177401,0.999994834387049
9,TRAF1,0.11092616,0.999994834387049
9,KLRG1,0.110784635,0.999994834387049
9,TMEM71,0.11076702,0.999994834387049
9,GFI1,0.110373266,0.999994834387049
9,TRAT1,0.11008841,0.999994834387049
9,TNFRSF18,0.10923266,0.999994834387049
10,IGLC3,61.57996,0.0
10,PTPN22,0.35008332,0.9999515363034457
10,ID2,0.31846645,0.9999515363034457
10,CD2,0.31234765,0.9999515363034457
10,ETS1,0.2980542,0.9999515363034457
10,ADAMTS1,0.28469655,0.9999515363034457
10,CCL19,0.2422482,0.9999515363034457
10,RCAN1,0.22092469,0.9999515363034457
10,CCDC80,0.20963845,0.9999515363034457
10,AGAP2,0.20758574,0.9999515363034457
10,IGFBP4,0.20424871,0.9999515363034457
10,STAB1,0.1894567,0.9999515363034457
10,ATP1B3,0.17403255,0.9999515363034457
10,RGS5,0.16094968,0.9999515363034457
10,FKBP8,0.15723796,0.9999515363034457
10,SLC11A1,0.15311672,0.9999515363034457
10,IGLC1,0.15216741,0.9999515363034457
10,CYBRD1,0.15008138,0.9999515363034457
10,CD96,0.1451934,0.9999515363034457
10,ARHGAP9,0.14440209,0.9999515363034457
10,CTSW,0.14140713,0.9999515363034457
10,ENPP2,0.14095117,0.9999515363034457
10,TNFRSF1B,0.13943014,0.9999515363034457
10,IKZF1,0.13804893,0.9999515363034457
10,PRICKLE2,0.13743867,0.9999515363034457
10,CALHM2,0.13273777,0.9999515363034457
10,RFLNB,0.1283818,0.9999515363034457
10,THEMIS,0.12666056,0.9999515363034457
10,TRBC2,0.12368243,0.9999515363034457
10,CALD1,0.11636197,0.9999515363034457
11,IGHA1,41.46251,0.0
11,ADAMTS1,0.70125765,0.9998923109152309
11,MGP,0.41442516,0.9998923109152309
11,SIRPA,0.34807146,0.9998923109152309
11,CPVL,0.33113024,0.9998923109152309
11,ACTG2,0.23749264,0.9998923109152309
11,IGLC1,0.2157801,0.9998923109152309
11,GPX3,0.21390733,0.9998923109152309
11,ARRDC2,0.21368293,0.9998923109152309
11,FABP5,0.20952873,0.9998923109152309
11,CD28,0.19903237,0.9998923109152309
11,LYZ,0.198109,0.9998923109152309
11,ENG,0.1907096,0.9998923109152309
11,CD99,0.18059321,0.9998923109152309
11,TRBC2,0.18037288,0.9998923109152309
