cluster,gene,score,pval_adj
0,RAB40B_nbr_1,5.8208904,3.624107902308259e-08
0,PRMT7_nbr_1,5.7361736,5.946735123387913e-08
0,RRP8_nbr_1,3.8542328,0.0005562488398143708
0,PRMT7_nbr_0,3.3203754,0.003963347178613295
0,RAB40B_nbr_0,3.3144033,0.004037156917779895
0,SLCO4C1_nbr_1,3.2128859,0.005664874695340619
0,CWC25_nbr_1,3.1099892,0.007884683759790602
0,SPP1_nbr_1,3.0883398,0.008452840067031921
0,GAS2L1_nbr_1,2.8718073,0.016674380725618845
0,COL9A2_nbr_1,2.514171,0.04521557230958346
0,CEP120_nbr_1,2.2898054,0.07939653321764413
0,RRP8_nbr_0,2.2151217,0.095487413234362
0,ADRB1_nbr_1,2.208675,0.09696273559983634
0,B3GNT8_nbr_1,1.990085,0.15927721557086716
0,NDUFAF4_nbr_1,1.9807048,0.16256582046904003
0,ZNF396_nbr_1,1.9762645,0.1641809615971912
0,PI3_nbr_1,1.7602105,0.2549423717520938
0,CWC25_nbr_0,1.6802193,0.29597618136841036
0,SLCO4C1_nbr_0,1.6614195,0.3065443667810747
0,SORBS1_nbr_1,1.6591547,0.3078268379689123
0,GAS2L1_nbr_0,1.6435533,0.31559409865633103
0,UQCRHL_nbr_1,1.5939492,0.34523350583806955
0,BATF2_nbr_1,1.5861143,0.3501854358936811
0,ADCY5_nbr_1,1.5558025,0.3704054112443741
0,ADRB1_nbr_0,1.4731967,0.42720513607079413
0,CEP120_nbr_0,1.4185735,0.46482610666828417
0,ZNF396_nbr_0,1.39125,0.4870264453776312
0,COL9A2_nbr_0,1.3888712,0.48876806027557945
0,OCEL1_nbr_1,1.3364265,0.5307364693473426
0,ZNF74_nbr_1,1.3260319,0.5381237118026039
12,APOE_nbr_0,36.269917,2.90291130208136e-284
12,APOE_nbr_1,34.47651,5.430356063454554e-257
12,C1QB-1,32.044006,4.002926393281892e-222
12,C1QB,32.044006,4.002926393281892e-222
12,VIM_nbr_1-1,30.200823,2.3173441729164224e-197
12,VIM_nbr_1,30.200823,2.3173441729164224e-197
12,VIM_nbr_0-1,28.527744,3.991105253581107e-176
12,VIM_nbr_0,28.527744,3.991105253581107e-176
12,LAPTM5_nbr_1,27.188578,5.927435893589454e-160
12,CD4,26.70868,2.0417250236815046e-154
12,CD4-1,26.70868,2.0417250236815046e-154
12,COL1A2_nbr_0,26.335962,3.4407939060252775e-150
12,COL1A2_nbr_0-1,26.335962,3.4407939060252775e-150
12,C1QA_nbr_1,25.335644,5.190448127789248e-139
12,C1QA_nbr_1-1,25.335644,5.190448127789248e-139
12,C1QC_nbr_1-1,24.766083,7.365269401107118e-133
12,C1QC_nbr_1,24.766083,7.365269401107118e-133
12,CD68_nbr_1-1,24.374256,1.0158930443653879e-128
12,CD68_nbr_1,24.374256,1.0158930443653879e-128
12,CTSZ_nbr_1,24.352865,1.6266518608907143e-128
12,TYROBP_nbr_1,24.079494,1.1749467701012244e-125
12,PSAP_nbr_1,23.467886,2.375104170653219e-119
12,SPARC_nbr_0,23.43226,5.027703015531705e-119
12,SPARC_nbr_0-1,23.43226,5.027703015531705e-119
12,COL6A3_nbr_0,23.317146,7.150630851293606e-118
12,SPARC_nbr_1,23.04039,4.0928334688579515e-115
12,SPARC_nbr_1-1,23.04039,4.0928334688579515e-115
12,LGALS1_nbr_1,22.867212,2.1176852790813624e-113
12,LAPTM5_nbr_0,22.374676,1.4414450816669435e-108
12,FN1_nbr_0-1,22.308697,5.90606425326442e-108
14,COL1A2_nbr_0-1,167.26541,0.0
14,COL1A2_nbr_0,167.26541,0.0
14,COL1A2_nbr_1,155.59456,0.0
14,COL1A2_nbr_1-1,155.59456,0.0
14,COL6A3_nbr_1,153.72974,0.0
14,COL6A3_nbr_0,140.60445,0.0
14,SPARC_nbr_1-1,138.08667,0.0
14,SPARC_nbr_1,138.08667,0.0
14,SPARC_nbr_0-1,129.06825,0.0
14,SPARC_nbr_0,129.06825,0.0
14,BGN_nbr_1,128.89473,0.0
14,LUM_nbr_1-1,124.71347,0.0
14,LUM_nbr_1,124.71347,0.0
14,FN1_nbr_1-1,116.50825,0.0
14,FN1_nbr_1,116.50825,0.0
14,FN1_nbr_0-1,111.47086,0.0
14,FN1_nbr_0,111.47086,0.0
14,BGN_nbr_0,109.18356,0.0
14,MGP_nbr_1,109.12642,0.0
14,COL5A1_nbr_1,107.70383,0.0
14,DCN_nbr_1-1,106.93748,0.0
14,DCN_nbr_1,106.93748,0.0
14,TAGLN_nbr_1-1,106.81147,0.0
14,TAGLN_nbr_1,106.81147,0.0
14,COL6A2_nbr_1,100.44568,0.0
14,AEBP1_nbr_1,98.13714,0.0
14,C1R_nbr_1,96.6413,0.0
14,VIM_nbr_1-1,95.609634,0.0
14,VIM_nbr_1,95.609634,0.0
14,LUM_nbr_0-1,95.59259,0.0
17,TNFRSF18-1,26.873383,1.3530915645853057e-155
17,TNFRSF18,26.873383,1.3530915645853057e-155
17,APOE_nbr_0,2.8535004,0.9998759325404608
17,TRBC2_nbr_1,2.4043698,0.9998759325404608
17,TNFRSF18_nbr_1,2.2380605,0.9998759325404608
17,TNFRSF18_nbr_1-1,2.2380605,0.9998759325404608
17,MS4A6A_nbr_1,2.0651383,0.9998759325404608
17,CD163_nbr_1,2.0477455,0.9998759325404608
17,CD163_nbr_1-1,2.0477455,0.9998759325404608
17,C3_nbr_0,2.017914,0.9998759325404608
17,C3_nbr_1,1.8995588,0.9998759325404608
17,CXCR4_nbr_1,1.8532292,0.9998759325404608
17,LRP1_nbr_1,1.8071041,0.9998759325404608
17,SERPING1_nbr_0,1.7146878,0.9998759325404608
17,TRBC2_nbr_0,1.6979609,0.9998759325404608
17,MS4A6A_nbr_0,1.5304004,0.9998759325404608
17,C1QC_nbr_1,1.475466,0.9998759325404608
17,C1QC_nbr_1-1,1.475466,0.9998759325404608
17,PSAP_nbr_0,1.3844739,0.9998759325404608
17,NUPR1_nbr_1,1.3184247,0.9998759325404608
17,APOE_nbr_1,1.2855753,0.9998759325404608
17,SERPINF1_nbr_1,1.2657344,0.9998759325404608
17,CCL2_nbr_1,1.2462652,0.9998759325404608
17,CCL2_nbr_1-1,1.2462652,0.9998759325404608
17,ROBO1_nbr_1,1.2224314,0.9998759325404608
17,SFRP2_nbr_1,1.2196962,0.9998759325404608
17,ALOX5_nbr_1,1.2039739,0.9998759325404608
17,MRC2_nbr_0,1.1886742,0.9998759325404608
17,CEP120_nbr_1,1.1771449,0.9998759325404608
17,TPM1_nbr_1,1.1617447,0.9998759325404608
2,LAG3-1,20.633476,2.7564529024366064e-91
2,LAG3,20.633476,2.7564529024366064e-91
2,LAG3-2,20.633476,2.7564529024366064e-91
2,IGKC_nbr_1-1,2.986915,0.99992152657406
2,IGKC_nbr_1,2.986915,0.99992152657406
2,TRBC2_nbr_1,2.7120085,0.99992152657406
2,CCL5_nbr_1,2.3348362,0.99992152657406
2,CCL5_nbr_1-1,2.3348362,0.99992152657406
2,CTSZ_nbr_0,2.328218,0.99992152657406
2,PSAP_nbr_1,2.2596772,0.99992152657406
2,PSAP_nbr_0,2.2545629,0.99992152657406
2,CD68_nbr_0-1,2.1723013,0.99992152657406
2,CD68_nbr_0,2.1723013,0.99992152657406
2,IGKC_nbr_0,2.1594107,0.99992152657406
2,IGKC_nbr_0-1,2.1594107,0.99992152657406
2,SERPINE1_nbr_1,2.154556,0.99992152657406
2,TRBC2_nbr_0,2.0045433,0.99992152657406
2,TPM1_nbr_0,1.9526882,0.99992152657406
2,CD68_nbr_1,1.8900001,0.99992152657406
2,CD68_nbr_1-1,1.8900001,0.99992152657406
2,MGP_nbr_1,1.8833501,0.99992152657406
2,DOCK2_nbr_1,1.8128856,0.99992152657406
2,LUM_nbr_0-1,1.7995288,0.99992152657406
2,LUM_nbr_0,1.7995288,0.99992152657406
2,CTSZ_nbr_1,1.7847977,0.99992152657406
2,CXCL10_nbr_1,1.7740235,0.99992152657406
2,CXCL10_nbr_1-1,1.7740235,0.99992152657406
2,MMP14_nbr_1,1.760769,0.99992152657406
2,LRP1_nbr_1,1.6938163,0.99992152657406
2,RARRES1_nbr_1,1.6575906,0.99992152657406
21,COL1A2_nbr_0,99.908424,0.0
21,COL1A2_nbr_0-1,99.908424,0.0
21,SPARC_nbr_0,84.52888,0.0
21,SPARC_nbr_0-1,84.52888,0.0
21,COL1A2_nbr_1,83.1198,0.0
21,COL1A2_nbr_1-1,83.1198,0.0
21,SPARC_nbr_1-1,81.47696,0.0
21,SPARC_nbr_1,81.47696,0.0
21,FN1_nbr_0,78.39144,0.0
21,FN1_nbr_0-1,78.39144,0.0
21,TAGLN_nbr_1-1,77.75027,0.0
21,TAGLN_nbr_1,77.75027,0.0
21,BGN_nbr_1,76.53184,0.0
21,FN1_nbr_1-1,75.2459,0.0
21,FN1_nbr_1,75.2459,0.0
21,VIM-1,74.71765,0.0
21,VIM,74.71765,0.0
21,COL6A3_nbr_0,72.99959,0.0
21,COL6A3_nbr_1,72.79283,0.0
21,BGN_nbr_0,70.610405,0.0
21,TAGLN_nbr_0,69.8112,0.0
21,TAGLN_nbr_0-1,69.8112,0.0
21,LUM_nbr_1,68.63504,0.0
21,LUM_nbr_1-1,68.63504,0.0
21,COL5A1_nbr_1,66.293526,0.0
21,TAGLN-1,65.07773,0.0
21,TAGLN,65.07773,0.0
21,ACTA2_nbr_1-1,60.871986,0.0
21,ACTA2_nbr_1,60.871986,0.0
21,AEBP1_nbr_1,60.522343,0.0
23,CCL5-1,60.76019,0.0
23,CCL5,60.76019,0.0
23,VIM_nbr_1-1,9.239019,3.7427003223739466e-17
23,VIM_nbr_1,9.239019,3.7427003223739466e-17
23,COL1A2_nbr_0,9.060275,1.3051262699458433e-16
23,COL1A2_nbr_0-1,9.060275,1.3051262699458433e-16
23,VIM_nbr_0-1,8.3978,3.4221177254072825e-14
23,VIM_nbr_0,8.3978,3.4221177254072825e-14
23,SPARC_nbr_1,7.9108887,1.5379453007482259e-12
23,SPARC_nbr_1-1,7.9108887,1.5379453007482259e-12
23,BGN_nbr_1,7.5674877,2.08173851673185e-11
23,FN1_nbr_1,7.328962,1.0737148121240731e-10
23,FN1_nbr_1-1,7.328962,1.0737148121240731e-10
23,FN1_nbr_0-1,7.2824783,1.3149021270255944e-10
23,FN1_nbr_0,7.2824783,1.3149021270255944e-10
23,SPARC_nbr_0,7.235195,1.645602334719333e-10
23,SPARC_nbr_0-1,7.235195,1.645602334719333e-10
23,APOE_nbr_1,7.110037,3.878666160353466e-10
23,COL6A3_nbr_0,7.100356,3.9413440779451554e-10
23,DCN_nbr_1-1,6.995613,7.568387794345367e-10
23,DCN_nbr_1,6.995613,7.568387794345367e-10
23,COL1A2_nbr_1,6.93748,1.0444004882566095e-09
23,COL1A2_nbr_1-1,6.93748,1.0444004882566095e-09
23,BGN_nbr_0,6.89521,1.3486698508282653e-09
23,COL6A3_nbr_1,6.8666515,1.582166291943644e-09
23,LUM_nbr_1,6.7351103,3.651045680154283e-09
