cluster,gene,score,pval_adj
0,SFTPB_nbr_1,62.39786,0.0
0,SFTPB_nbr_1,62.39786,0.0
0,SFTPB_nbr_0,56.250072,0.0
0,SFTPB_nbr_0,56.250072,0.0
0,SFTPD_nbr_1,39.959984,0.0
0,SFTPD_nbr_1,39.959984,0.0
0,SFTPA2_nbr_1,39.32374,0.0
0,SERPINA1_nbr_1,37.96713,0.0
0,SCGB3A2_nbr_1,37.580734,8.613819195992147e-307
0,PIGR_nbr_1,30.426447,2.6385161107461406e-201
0,SFTPA2_nbr_0,30.0456,2.63121226617184e-196
0,SFTPD_nbr_0,29.232782,7.2150495554856876e-186
0,SFTPD_nbr_0,29.232782,7.2150495554856876e-186
0,SERPINA1_nbr_0,27.975267,2.8340367730962503e-170
0,SFTPA1_nbr_1,27.956547,4.7185437611789236e-170
0,SCGB3A2_nbr_0,27.635733,3.510869966002986e-166
0,WFDC2_nbr_1,27.022285,6.577943184409358e-159
0,LTF_nbr_1,24.677807,1.3756196140994392e-132
0,SLPI_nbr_1,23.608564,2.104637517227623e-121
0,AQP1_nbr_1,21.315407,4.819878903136625e-99
0,LRRK2_nbr_1,20.75951,5.710677880728851e-94
0,PIGR_nbr_0,20.09988,4.010439403197824e-88
0,SFTPA1_nbr_0,19.992607,3.431842575953247e-87
0,SFTPB,19.044664,3.588589276233068e-79
0,SFTPB,19.044664,3.588589276233068e-79
0,SCGB3A1_nbr_1,18.943033,2.4662845228702624e-78
0,CTSE_nbr_1,17.725578,1.2134420836763882e-68
0,WFDC2_nbr_0,17.378397,5.40135281144954e-66
0,LTF_nbr_0,17.058687,1.3042543794379392e-63
0,CTSH_nbr_1,16.997334,3.694256615536992e-63
0,ROS1_nbr_1,15.432708,3.957536644733415e-52
0,SLPI_nbr_0,15.085377,8.002220641689359e-50
0,SFTPC_nbr_1,13.644534,8.235974389264124e-41
0,AQP1_nbr_0,13.410305,1.9792385994482208e-39
0,LRRK2_nbr_0,13.13564,7.642981320801242e-38
0,LAMP3_nbr_1,11.957751,1.9663844932366763e-31
0,LAMP3_nbr_1,11.957751,1.9663844932366763e-31
0,LAMP3_nbr_1,11.957751,1.9663844932366763e-31
0,SCGB3A1_nbr_0,11.92816,2.7913931599096525e-31
0,C4BPA_nbr_1,11.672223,5.780685179912242e-30
0,CTSE_nbr_0,11.097242,4.034048647515039e-27
0,SFTPC_nbr_0,10.839072,6.865397375127481e-26
0,CTSH_nbr_0,10.518785,2.1404768061435535e-24
0,DMBT1_nbr_1,9.89134,1.3069938236695587e-21
0,C16orf89_nbr_1,9.685721,9.796950809136953e-21
0,ZFP36_nbr_0,9.664995,1.1885974757997579e-20
0,ROS1_nbr_0,9.364419,2.0917967858544528e-19
0,ZFP36_nbr_1,8.722774,6.98159475121524e-17
0,PEBP4_nbr_1,8.576221,2.47903565894651e-16
0,MACROD2_nbr_1,8.365234,1.485820691360939e-15
1,RAB40B_nbr_1,5.437034,3.3854981691498997e-07
1,PRMT7_nbr_1,4.6793118,1.6639926313724088e-05
1,CWC25_nbr_1,3.3463118,0.003844301257532766
1,RRP8_nbr_1,3.2488277,0.0053644277764554925
1,SLCO4C1_nbr_1,2.945142,0.014305222434649774
1,RAB40B_nbr_0,2.9094791,0.015984639920081572
1,PRMT7_nbr_0,2.646791,0.033865645176040515
1,GAS2L1_nbr_1,2.6224184,0.03618598100912355
1,COL9A2_nbr_1,2.5599031,0.04274712682343334
1,CEP120_nbr_1,2.5447023,0.04456292470646163
1,ZNF396_nbr_1,2.4295104,0.06045683784831495
1,ADRB1_nbr_1,2.3220246,0.07850020118839798
1,NDUFAF4_nbr_1,2.0551775,0.14538706718548766
1,ADCY5_nbr_1,1.9245707,0.19182361952596866
1,RRP8_nbr_0,1.8711536,0.21406413127809984
1,CWC25_nbr_0,1.8691213,0.21492435044699384
1,UQCRHL_nbr_1,1.7799189,0.2574854893810518
